id,video_id,start,end,class_id,verb,noun,annotation
87,PNU0Z-N3pHQ,120,130,48,wash,pepper,0
88,WSmJ1qZiXfQ,0,10,32,throw,apple,0
89,jl5IWkGSfJY,70,80,49,measure,fridge,0
90,HlPnGkFetcs,10,20,50,wash,tomato,1
91,rC7_gpQ2Uvk,150,160,36,shake,hair,1
92,7uWUnTTd1EI,140,150,35,drop,fridge,0
93,HoCBudoWS8w,10,20,5,unplug,oven,0
94,8zE_UnIS_4E,120,130,14,deseed,pepper,1
95,BJaFHIo2NB0,110,120,18,shake,tree,0
96,s2LuWXgjXuA,130,140,12,roll,potato,0
97,cMllrzpThb4,100,110,22,unplug,phone,0
98,U1I6bjDPTpQ,20,30,41,wash,cucumber,0
99,TAVDqnCGbqQ,30,40,6,throw,shirt,0
100,tbZtayilfqI,20,30,25,wash,fridge,0
101,I5lDKOLbcEA,0,10,1,close,blender,0
102,SsCX5UVu2yg,30,40,17,cut,chair,0
103,lX9msYbru5I,60,70,20,throw,flower,1
104,1ijBtQ5y3pw,100,110,51,wash,window,0
105,Sa6ZC4TEPXk,130,140,3,move,microwave,0
106,cSl6PT0AyI0,20,30,44,shake,door,0
107,Jp-o1RoagLY,60,70,43,move,fridge,0
108,U33B5izUYVM,60,70,36,shake,hair,0
109,Jp-o1RoagLY,40,50,43,move,fridge,0
110,SL8zjzMQmV4,130,140,20,throw,flower,0
111,mds1TtfMEyA,0,10,52,measure,hair,0
112,HhPuUMQ8KAg,70,80,53,measure,flower,0
113,3fKz5FkH3F4,10,20,44,shake,door,0
114,P3Qanob6u_M,20,30,51,wash,window,0
115,DdUHxR_m2FA,10,20,37,spray,chair,0
116,bdPsmVhUlZ0,30,40,5,unplug,oven,0
117,_AbUIbH-Als,0,10,19,shake,table,1
118,kuRB-edR8zc,150,160,34,wash,door,0
119,kwMGhyDDWco,90,100,19,shake,table,0
120,jgrfDs2lJxA,90,100,54,blend,phone,0
121,041fmM-iVms,20,30,14,deseed,pepper,1
122,Jp-o1RoagLY,150,160,38,close,fridge,0
123,d1acyrTM2eU,60,70,39,throw,phone,0
124,BtnCCSGQgJA,80,90,29,peel,coconut,1
125,_DF_J7NCZw0,0,10,34,wash,door,0
126,vu3AK7zAw7o,150,160,52,measure,hair,1
127,RcZ7Sx-H1co,100,110,12,roll,potato,0
128,4u2Vp6zEbuU,190,200,15,wash,coconut,0
129,adFJHues1_Y,30,40,55,wash,apple,1
130,pepfLU40HGA,20,30,56,spray,cup,0
131,ypfewaIAeno,60,70,1,close,blender,0
132,zXOPUXb1th8,10,20,29,peel,coconut,1
133,ZziozzTPNBs,140,150,16,weigh,tomato,0
134,Lnu1qMFAzmw,110,120,48,wash,pepper,1
135,f3eIl-JOTO8,10,20,2,weigh,banana,0
136,1NuAaixvAb0,50,60,47,deseed,tomato,0
137,_DF_J7NCZw0,90,100,34,wash,door,0
138,ovjtEVbtPCo,50,60,19,shake,table,0
139,_K0t_I_vT3Y,40,50,34,wash,door,0
140,B8pglPaQ978,160,170,16,weigh,tomato,0
141,t7mMXzZo5rU,60,70,57,unplug,fridge,0
142,NRtg41fHzHY,100,110,30,roll,banana,1
143,TiQFwSBcTK8,10,20,42,wash,rock,0
144,lOwPbeRakQM,0,10,36,shake,hair,1
145,rX7KJuJiFqM,110,120,6,throw,shirt,0
146,Ip8fBV20i7o,0,10,22,unplug,phone,0
147,xKWc9dS-v-Q,20,30,26,cut,coconut,1
148,cl0cce775Kk,30,40,24,weigh,pumpkin,1
149,834sSnDSUmM,60,70,38,close,fridge,0
150,CjCQr2l_eLA,0,10,58,cut,towel,0
151,xlE3WNHFJKQ,0,10,41,wash,cucumber,0
152,EZ2YVPRYMlw,0,10,25,wash,fridge,0
153,wb_6k3_6Z7k,30,40,21,roll,carrot,0
154,Vcc5oJYbHYs,20,30,28,drink,egg,0
155,qKhCnoIDdJs,100,110,33,hammer,phone,1
156,mTp8PZIPKUE,80,90,59,wash,potato,0
157,QXngIMg72cw,10,20,60,throw,orange,1
158,AFlB9xQWoSY,30,40,56,spray,cup,0
159,cMllrzpThb4,0,10,22,unplug,phone,0
160,d1acyrTM2eU,110,120,39,throw,phone,0
161,Tv0xBk2aw70,50,60,61,open,blender,0
162,ovjtEVbtPCo,30,40,19,shake,table,0
163,NQ51KI5LEI0,10,20,62,shake,clothe,0
164,Nmf1Euq9LbY,110,120,30,roll,banana,0
165,rQVGiAlXMwg,100,110,10,cut,rock,0
166,D2Arz-mCuFw,0,10,18,shake,tree,0
167,ZvnP5Ut6CuU,10,20,10,cut,rock,0
168,gH84uWZFxsM,90,100,52,measure,hair,1
169,YhU77e8Zjt8,150,160,36,shake,hair,0
170,tHdnDCCCVBU,150,160,0,shake,tomato,0
171,d1acyrTM2eU,20,30,39,throw,phone,0
172,Abuv-HDteE4,20,30,27,shake,potato,0
173,Nmf1Euq9LbY,40,50,30,roll,banana,0
174,THrn-rfRyLc,190,200,41,wash,cucumber,0
175,ZKFwXrte3mA,10,20,35,drop,fridge,0
176,R9IuLgx1vWg,50,60,33,hammer,phone,1
177,-VOpTWzqM5A,0,10,58,cut,towel,0
178,YAGrPiPshH0,90,100,31,cut,pumpkin,1
179,OnrjUjItE0s,50,60,53,measure,flower,0
180,9m8AdQmnCbY,20,30,12,roll,potato,0
181,c1DnBGK9UF8,30,40,3,move,microwave,0
182,zXOPUXb1th8,90,100,29,peel,coconut,1
183,kuRB-edR8zc,30,40,34,wash,door,0
184,KSTCmIOJdZI,90,100,38,close,fridge,0
185,RYHFeTsEn6U,120,130,8,measure,carrots,0
186,niip72mOlkI,60,70,59,wash,potato,1
187,EQOjkCKLkEU,120,130,63,throw,cookie,0
188,cMMyLA2YML0,130,140,47,deseed,tomato,0
189,deomA0CGAZw,60,70,43,move,fridge,0
190,f_MFUkNwulc,50,60,64,move,towel,0
191,SL8zjzMQmV4,120,130,20,throw,flower,0
192,c1DnBGK9UF8,90,100,3,move,microwave,0
193,7mldxcvjUzY,150,160,47,deseed,tomato,0
194,VsvPTP-eJyA,60,70,3,move,microwave,0
195,WyQ7LNhRVzI,20,30,43,move,fridge,0
196,UI_W7GfKZSQ,10,20,2,weigh,banana,0
197,jgrfDs2lJxA,40,50,54,blend,phone,1
198,rC7_gpQ2Uvk,90,100,36,shake,hair,1
199,zXOPUXb1th8,70,80,29,peel,coconut,1
200,HpJvlrTCzaI,10,20,52,measure,hair,1
201,AB276WF6HEY,0,10,37,spray,chair,0
202,Sa6ZC4TEPXk,80,90,3,move,microwave,0
203,lejdvdQwFaM,50,60,27,shake,potato,0
204,9VA24y9X1hs,20,30,30,roll,banana,1
205,ezjiBzQsn_Y,100,110,61,open,blender,0
206,TLMroVuZ_Nc,110,120,1,close,blender,0
207,BPxBoun5zak,80,90,65,measure,microwave,0
208,Sa6ZC4TEPXk,110,120,3,move,microwave,0
209,y24wB7UUMhU,70,80,12,roll,potato,0
210,lejdvdQwFaM,0,10,27,shake,potato,0
211,-tmkmQBMEH8,70,80,36,shake,hair,0
212,_K0t_I_vT3Y,80,90,34,wash,door,0
213,YrprweCBN2o,0,10,44,shake,door,0
214,5-HRup3txno,160,170,14,deseed,pepper,1
215,CRJMOUbDnMg,0,10,43,move,fridge,0
216,8qI0EMnjlzY,90,100,20,throw,flower,1
217,xKWc9dS-v-Q,10,20,26,cut,coconut,1
218,a1NFSpKURsg,30,40,20,throw,flower,1
219,THrn-rfRyLc,40,50,41,wash,cucumber,1
220,pFNOCAYJtr4,10,20,62,shake,clothe,0
221,_K0t_I_vT3Y,50,60,34,wash,door,0
222,KBxfrTftTLU,30,40,46,shake,lemon,0
223,7kgMDB7wRIM,20,30,30,roll,banana,1
224,W59sdkbJjB4,0,10,15,wash,coconut,0
225,hSwjkG3nv1c,100,110,19,shake,table,1
226,8iwmdq_clSQ,140,150,62,shake,clothe,0
227,6HgxiYBkh3U,20,30,19,shake,table,0
228,HhPuUMQ8KAg,10,20,53,measure,flower,0
229,hyivkAqTpCk,20,30,17,cut,chair,0
230,AB276WF6HEY,40,50,37,spray,chair,0
231,esT7FKsIuD0,100,110,59,wash,potato,0
232,MtHsG_X5_Wk,0,10,46,shake,lemon,0
233,U33B5izUYVM,190,200,36,shake,hair,0
234,DT2kfiISJTg,130,140,18,shake,tree,0
235,C9KcyLyqL2Y,30,40,5,unplug,oven,0
236,IGrqK9sknUE,20,30,42,wash,rock,0
237,1-GbI-y1BWk,10,20,53,measure,flower,0
238,834sSnDSUmM,10,20,38,close,fridge,0
239,s2LuWXgjXuA,10,20,12,roll,potato,0
240,DT2kfiISJTg,150,160,18,shake,tree,0
241,pepfLU40HGA,40,50,56,spray,cup,0
242,d8obFkc12iQ,90,100,12,roll,potato,0
243,xWxYu9sy_aQ,150,160,32,throw,apple,0
244,8ONSC0Wk2ds,90,100,62,shake,clothe,0
245,hNhFlkNzg9Y,70,80,37,spray,chair,0
246,07ROfkLF_eE,20,30,22,unplug,phone,0
247,kNGAxDIN1Tw,110,120,26,cut,coconut,1
248,WSmJ1qZiXfQ,110,120,32,throw,apple,0
249,_feLHla9o0I,130,140,54,blend,phone,1
250,FLkGPnpks1Y,20,30,66,wash,microwave,0
251,TYKnvXapauI,150,160,51,wash,window,0
252,w2WMp6f59hw,90,100,40,wash,blender,0
253,vu3AK7zAw7o,70,80,52,measure,hair,1
254,0w9U2ICnRnY,80,90,30,roll,banana,1
255,0w9U2ICnRnY,80,90,30,roll,banana,1
256,muo-CLmYN10,0,10,62,shake,clothe,1
257,muo-CLmYN10,0,10,62,shake,clothe,1
258,muo-CLmYN10,0,10,62,shake,clothe,1
259,BClthZVx8lU,80,90,49,measure,fridge,0
260,4XigYZX-904,80,90,45,spray,door,1
261,BClthZVx8lU,30,40,49,measure,fridge,0
262,c1DnBGK9UF8,60,70,3,move,microwave,0
263,rQVGiAlXMwg,90,100,10,cut,rock,0
264,_omVbArsalg,30,40,26,cut,coconut,1
265,6q9p8AHYfMg,170,180,48,wash,pepper,0
266,vu3AK7zAw7o,130,140,52,measure,hair,1
267,CRJMOUbDnMg,40,50,49,measure,fridge,0
268,Zx24I3hd8Hk,10,20,7,spray,microwave,0
269,_feLHla9o0I,60,70,54,blend,phone,1
270,Jfd4tibHAaM,160,170,33,hammer,phone,1
271,jLpj_a8HBzM,90,100,23,move,tree,0
272,rQVGiAlXMwg,200,210,10,cut,rock,0
273,BZx5Tz_A7mg,0,10,22,unplug,phone,0
274,mBz-_9EFKrA,0,10,67,spray,table,0
275,kYx3PXNgl5I,0,10,55,wash,apple,0
276,uGvJM-5JMWI,50,60,1,close,blender,0
277,B8pglPaQ978,200,210,16,weigh,tomato,0
278,1NuAaixvAb0,80,90,47,deseed,tomato,0
279,Jfd4tibHAaM,130,140,33,hammer,phone,1
280,xWxYu9sy_aQ,70,80,32,throw,apple,0
281,6GTfQjZILqA,20,30,1,close,blender,0
282,-0-btIM0E28,60,70,49,measure,fridge,0
283,PNU0Z-N3pHQ,90,100,48,wash,pepper,0
284,VAn1x7gKrHA,90,100,23,move,tree,0
285,Yp6GqPNiKIo,40,50,31,cut,pumpkin,1
286,LNF4beoGIbk,0,10,46,shake,lemon,0
287,pkEJHwAma4A,170,180,27,shake,potato,0
288,c1DnBGK9UF8,110,120,3,move,microwave,0
289,iGmba7i5wjw,120,130,17,cut,chair,0
290,07ROfkLF_eE,130,140,22,unplug,phone,0
291,mTp8PZIPKUE,60,70,59,wash,potato,0
292,_omVbArsalg,10,20,26,cut,coconut,1
293,ZziozzTPNBs,190,200,16,weigh,tomato,0
294,wxmCEee3qPg,0,10,58,cut,towel,0
295,THrn-rfRyLc,130,140,41,wash,cucumber,0
296,StQgAzKmkIk,30,40,9,open,microwave,0
297,3O-DzSJuIVw,110,120,65,measure,microwave,0
298,cMllrzpThb4,90,100,22,unplug,phone,0
299,H5sUKWiUEec,190,200,38,close,fridge,0
300,INl5pviBOVk,10,20,21,roll,carrot,0
301,Nmf1Euq9LbY,50,60,30,roll,banana,0
302,simtju9T-bU,130,140,48,wash,pepper,0
303,VsvPTP-eJyA,130,140,3,move,microwave,0
304,R2j6MeG2rTE,20,30,21,roll,carrot,0
305,INl5pviBOVk,0,10,21,roll,carrot,0
306,TAVDqnCGbqQ,60,70,6,throw,shirt,0
307,P3Qanob6u_M,10,20,51,wash,window,0
308,89f6yuGDA4c,10,20,62,shake,clothe,0
309,CRpYWbUCWyU,60,70,1,close,blender,0
310,8OyitswIpFo,60,70,50,wash,tomato,1
311,cMMyLA2YML0,160,170,47,deseed,tomato,0
312,IyHO5Qe102E,40,50,10,cut,rock,0
313,j87ce6W23jc,50,60,59,wash,potato,1
314,dTSaWZ276T0,130,140,68,throw,spoon,1
315,wb_6k3_6Z7k,20,30,21,roll,carrot,0
316,BtnCCSGQgJA,60,70,29,peel,coconut,1
317,-Oywo0MnAdQ,90,100,9,open,microwave,0
318,i9sZF8t4aBw,20,30,6,throw,shirt,0
319,NAwXkU1PBZE,40,50,55,wash,apple,0
320,8iwmdq_clSQ,160,170,62,shake,clothe,0
321,Pn3rSLJGgF0,100,110,18,shake,tree,0
322,TiQFwSBcTK8,70,80,42,wash,rock,0
323,Jp-o1RoagLY,70,80,43,move,fridge,0
324,Jfd4tibHAaM,0,10,33,hammer,phone,0
325,j87ce6W23jc,120,130,59,wash,potato,1
326,YAGrPiPshH0,110,120,31,cut,pumpkin,1
327,5IbTTidaRn4,50,60,4,weigh,egg,0
328,BPxBoun5zak,60,70,65,measure,microwave,0
329,Mv3UYxe5uF0,20,30,54,blend,phone,1
330,a51yE1fZDb0,40,50,58,cut,towel,0
331,YhU77e8Zjt8,120,130,36,shake,hair,0
332,B2E6cLIJmiM,70,80,49,measure,fridge,0
333,N6tuOi9rITw,80,90,69,wash,oven,0
334,ovjtEVbtPCo,60,70,19,shake,table,0
335,Qvf-MEibR2s,40,50,56,spray,cup,0
336,6iXUzTn9lTM,60,70,41,wash,cucumber,0
337,6GTfQjZILqA,10,20,1,close,blender,0
338,8OyitswIpFo,40,50,50,wash,tomato,1
339,07ROfkLF_eE,100,110,22,unplug,phone,0
340,UY06zCeJJfI,60,70,41,wash,cucumber,0
341,rX7HSNT-isQ,50,60,35,drop,fridge,0
342,d1acyrTM2eU,80,90,39,throw,phone,0
343,6QgDnu6BV84,30,40,63,throw,cookie,0
344,Ip8fBV20i7o,110,120,22,unplug,phone,0
345,B8pglPaQ978,0,10,16,weigh,tomato,0
346,BJaFHIo2NB0,0,10,18,shake,tree,0
347,U1I6bjDPTpQ,180,190,41,wash,cucumber,0
348,RON01V4rqLo,150,160,67,spray,table,1
349,Sa6ZC4TEPXk,0,10,3,move,microwave,0
350,4u2Vp6zEbuU,70,80,15,wash,coconut,0
351,ZvnP5Ut6CuU,130,140,10,cut,rock,0
352,bK8mQjJQfS4,70,80,6,throw,shirt,0
353,Jfd4tibHAaM,20,30,33,hammer,phone,1
354,a_P0n4HurSA,100,110,3,move,microwave,0
355,bdPsmVhUlZ0,0,10,5,unplug,oven,0
356,D6f7MPi0Vvg,70,80,49,measure,fridge,0
357,037S15TlT8I,120,130,7,spray,microwave,0
358,vauqe23tWUI,50,60,34,wash,door,0
359,SHVFcwgqTpM,0,10,58,cut,towel,0
360,BPxBoun5zak,90,100,65,measure,microwave,0
361,-Oywo0MnAdQ,80,90,9,open,microwave,0
362,1ijBtQ5y3pw,90,100,51,wash,window,0
363,Zx24I3hd8Hk,0,10,7,spray,microwave,0
364,7kgMDB7wRIM,0,10,30,roll,banana,0
365,3DKA44UUBLs,20,30,41,wash,cucumber,0
366,tHdnDCCCVBU,140,150,0,shake,tomato,0
367,Jp-o1RoagLY,40,50,38,close,fridge,0
368,laJd9Uov9H0,60,70,46,shake,lemon,0
369,Jfd4tibHAaM,30,40,33,hammer,phone,1
370,MaYLQYtHfTI,170,180,65,measure,microwave,0
371,PWXhcUyxnLw,40,50,40,wash,blender,0
372,R2j6MeG2rTE,10,20,21,roll,carrot,0
373,ezjiBzQsn_Y,40,50,61,open,blender,0
374,D8KCobW7OwU,40,50,15,wash,coconut,0
375,gPWEjaWjRQY,120,130,35,drop,fridge,0
376,boOO4gFjLgE,40,50,50,wash,tomato,1
377,tlTpU5B56js,160,170,21,roll,carrot,0
378,boOO4gFjLgE,50,60,50,wash,tomato,1
379,DW5z8hrannI,110,120,18,shake,tree,0
380,D5IA_AxA7Mk,70,80,18,shake,tree,1
381,ncjMge3IFCs,120,130,29,peel,coconut,1
382,ezjiBzQsn_Y,60,70,61,open,blender,0
383,P3vtMEDmZC8,50,60,53,measure,flower,0
384,-tmkmQBMEH8,90,100,36,shake,hair,0
385,hk97qlTYqm8,20,30,53,measure,flower,0
386,cb0mfztK9Oo,0,10,27,shake,potato,0
387,Vs5d8vPheUM,170,180,69,wash,oven,0
388,dTSaWZ276T0,80,90,68,throw,spoon,0
389,JDHWEOQCoIA,70,80,9,open,microwave,0
390,M04XMPlE5ms,0,10,64,move,towel,0
391,hF8R87HPECI,30,40,32,throw,apple,0
392,6BUPiNgLjvI,100,110,37,spray,chair,0
393,TLMroVuZ_Nc,140,150,1,close,blender,0
394,SeaBGYiRYo8,50,60,70,microwave,phone,1
395,VsvPTP-eJyA,100,110,3,move,microwave,0
396,A9nWUE2XvnI,10,20,40,wash,blender,0
397,cMMyLA2YML0,90,100,47,deseed,tomato,0
398,YhU77e8Zjt8,180,190,36,shake,hair,0
399,ppNqpTCZgf4,130,140,2,weigh,banana,0
400,jl5IWkGSfJY,100,110,49,measure,fridge,0
401,0ccSrtWKncI,10,20,2,weigh,banana,0
402,TYKnvXapauI,40,50,51,wash,window,0
403,JCO_9bwo6VA,40,50,31,cut,pumpkin,1
404,1ijBtQ5y3pw,40,50,51,wash,window,0
405,Abuv-HDteE4,0,10,27,shake,potato,0
406,hk97qlTYqm8,10,20,53,measure,flower,0
407,QELdZy8pBUg,30,40,44,shake,door,0
408,FFliTfTBGAg,0,10,10,cut,rock,0
409,ngjuZP35cbQ,110,120,42,wash,rock,0
410,Va51VVv3_xk,0,10,64,move,towel,0
411,AvMJUXVp2FA,0,10,6,throw,shirt,0
412,ESGETDNtitU,90,100,38,close,fridge,0
413,6q9p8AHYfMg,190,200,48,wash,pepper,0
414,N6tuOi9rITw,20,30,69,wash,oven,0
415,4u2Vp6zEbuU,160,170,15,wash,coconut,0
416,oLsVipV3L0M,10,20,61,open,blender,0
417,kwMGhyDDWco,80,90,19,shake,table,0
418,WSmJ1qZiXfQ,80,90,32,throw,apple,0
419,FFliTfTBGAg,10,20,10,cut,rock,0
420,P3vtMEDmZC8,0,10,53,measure,flower,0
421,P3vtMEDmZC8,30,40,53,measure,flower,0
422,TLMroVuZ_Nc,190,200,1,close,blender,0
423,ESGETDNtitU,90,100,43,move,fridge,0
424,rEz4bl_g17M,50,60,22,unplug,phone,0
425,SUqdPxLjmJ4,40,50,8,measure,carrots,0
426,4u2Vp6zEbuU,0,10,15,wash,coconut,0
427,boOO4gFjLgE,10,20,50,wash,tomato,1
428,RYHFeTsEn6U,80,90,8,measure,carrots,0
429,RYHFeTsEn6U,50,60,8,measure,carrots,0
430,P3vtMEDmZC8,20,30,53,measure,flower,0
431,pkEJHwAma4A,120,130,27,shake,potato,0
432,rCEia8BsjTs,0,10,56,spray,cup,0
433,ypfewaIAeno,150,160,1,close,blender,0
434,xlE3WNHFJKQ,60,70,41,wash,cucumber,0
435,Pn3rSLJGgF0,60,70,18,shake,tree,0
436,t7mMXzZo5rU,100,110,57,unplug,fridge,0
437,81c97dPaq0M,0,10,41,wash,cucumber,0
438,8AJX_TVpDJk,30,40,7,spray,microwave,0
439,A_Nq_tjawhE,40,50,59,wash,potato,3
440,Nf2W5JEsRXk,20,30,23,move,tree,0
441,PQl07h1mxAg,60,70,56,spray,cup,0
442,ZzE9_ymzeR4,140,150,61,open,blender,3
443,_feLHla9o0I,160,170,54,blend,phone,0
444,o3TSaTrmMzY,40,50,11,peel,corn,3
445,hF8R87HPECI,110,120,32,throw,apple,3
446,A9nWUE2XvnI,10,20,40,wash,blender,0
447,CRpYWbUCWyU,150,160,1,close,blender,0
448,3O-DzSJuIVw,80,90,65,measure,microwave,3
449,d1acyrTM2eU,0,10,39,throw,phone,0
450,QaMW4kKYbNM,30,40,6,throw,shirt,3
451,dWcZLPA4b7Y,80,90,71,roll,shirt,3
452,ZziozzTPNBs,180,190,16,weigh,tomato,0
453,hSwjkG3nv1c,60,70,19,shake,table,4
454,Jp-o1RoagLY,50,60,38,close,fridge,0
455,ugm2bChsFys,70,80,12,roll,potato,0
456,ppNqpTCZgf4,80,90,2,weigh,banana,0
457,CqWOyiGyxPo,150,160,26,cut,coconut,3
458,l2H8z66zyMM,130,140,45,spray,door,4
459,gPWEjaWjRQY,80,90,35,drop,fridge,3
460,vVlVl6duuzs,60,70,12,roll,potato,4
461,MaYLQYtHfTI,90,100,65,measure,microwave,0
462,RbKuKAGphTk,20,30,26,cut,coconut,1
463,LegmdENUAns,40,50,60,throw,orange,3
464,6q9p8AHYfMg,40,50,48,wash,pepper,0
465,B8pglPaQ978,40,50,16,weigh,tomato,0
466,Abuv-HDteE4,0,10,27,shake,potato,0
467,DeGcU3TVP1w,10,20,24,weigh,pumpkin,3
468,ngjuZP35cbQ,0,10,42,wash,rock,0
469,simtju9T-bU,140,150,48,wash,pepper,0
470,K8Yzm0D3mJE,80,90,72,drink,chocolate,0
471,50TrwHGzyIc,20,30,60,throw,orange,3
472,HXk6FkkpBYc,10,20,3,move,microwave,3
473,CRJMOUbDnMg,0,10,49,measure,fridge,0
474,P3Qanob6u_M,110,120,51,wash,window,0
475,aZhGU1-J8_E,50,60,29,peel,coconut,3
476,Ue0iBj-_0_I,0,10,70,microwave,phone,3
477,bdPsmVhUlZ0,90,100,5,unplug,oven,0
478,sXtswVlbtAA,20,30,55,wash,apple,0
479,8zE_UnIS_4E,80,90,14,deseed,pepper,3
480,s3S6hd4bXCA,110,120,55,wash,apple,0
481,EQOjkCKLkEU,0,10,63,throw,cookie,0
482,VsvPTP-eJyA,60,70,3,move,microwave,0
483,hSwjkG3nv1c,30,40,19,shake,table,4
484,P3Qanob6u_M,10,20,51,wash,window,0
485,_ke7eL1a5VI,10,20,66,wash,microwave,0
486,eVqyh3rfRB8,40,50,15,wash,coconut,0
487,A1bq6kQ4rvg,40,50,58,cut,towel,0
488,VAn1x7gKrHA,160,170,23,move,tree,0
489,k-BfPJvoYlg,100,110,30,roll,banana,3
490,D8KCobW7OwU,60,70,15,wash,coconut,0
491,wU6IO6x12yE,10,20,70,microwave,phone,1
492,7DDj7PHKwjg,0,10,65,measure,microwave,3
493,n8uz0gZY5W0,80,90,23,move,tree,3
494,mds1TtfMEyA,50,60,52,measure,hair,1
495,FAJebxwuX0A,70,80,52,measure,hair,0
496,s2LuWXgjXuA,130,140,12,roll,potato,0
